Section Prerequisites for Term: 202510,,,,,,,
,,,,,,,
Term,Subject,Course,Section,CRN,Part of Term,Title,Prerequisites
,,,H22,25418,1,Honors Research II,BIOL 4700
,BLAW,3150,001,20249,1,Business Law I,INFO 2130
,,,002,21061,1,Business Law I,INFO 2130
,,,003,21867,1,Business Law I,INFO 2130
,,,090,20250,1,Business Law I,INFO 2130
,,,091,20711,1,Business Law I,INFO 2130
,,,092,27118,1,Business Law I,INFO 2130
,,3250,001,20251,1,Business Law II,BLAW 3150
,BPHD,8110,001,20822,1,Microeconomic Theory II,BPHD 8100
,,8130,001,20823,1,Econometrics II,BPHD 8120
,,8210,001,20248,1,Investments & Portfolio Theory,BPHD 8200
,,8240,U90,20718,1,Derivatives,BPHD 8200
,CEGR,2102,001,20828,1,Engineering Econ Analysis,ENGR 1201
,,2103,L01,22573,1,Surveying and Tech. Drawing,ENGR 1202
,,,L02,22574,1,Surveying and Tech. Drawing,ENGR 1202
,,,L03,22781,1,Surveying and Tech. Drawing,ENGR 1202
,,2154,L01,20536,1,Design Project Lab,CEGR 2102
